Id,Fipe,Marca,Modelo,Valor,Ano Fabricacao,Ano Modelo,KM,Transmissao,Cor,Versao,Cidade,Tipo Vendedor,Link
39418579,108,JEEP,RENEGADE,89900,2017,2017,49200,Automática,Prata,1.8 16V FLEX LONGITUDE 4P AUTOMATICO,Itajaí,PJ,https://www.webmotors.com.br/comprar/JEEP/RENEGADE/1.8-16V-FLEX-LONGITUDE-4P-AUTOMATICO/4-portas/2017-2017/39418579
39992234,666,FIAT,UNO,34890,2010,2011,83000,Manual,Prata,1.0 EVO VIVACE 8V FLEX 4P MANUAL,São José,PJ,https://www.webmotors.com.br/comprar/FIAT/UNO/1.0-EVO-VIVACE-8V-FLEX-4P-MANUAL/4-portas/2010-2011/39992234
37698641,103,FIAT,ARGO,59900,2017,2018,39000,Manual,Vermelho,1.3 FIREFLY FLEX DRIVE MANUAL,Gaspar,PJ,https://www.webmotors.com.br/comprar/FIAT/ARGO/1.3-FIREFLY-FLEX-DRIVE-MANUAL/4-portas/2017-2018/37698641
39992854,666,RENAULT,SANDERO,35000,2013,2014,107000,Manual,Branco,1.0 EXPRESSION 16V FLEX 4P MANUAL,Guabiruba,PJ,https://www.webmotors.com.br/comprar/RENAULT/SANDERO/1.0-EXPRESSION-16V-FLEX-4P-MANUAL/4-portas/2013-2014/39992854
39992870,114,CHEVROLET,ONIX,47900,2014,2014,76000,Manual,Azul,1.0 MPFI LOLLAPALOOZA 8V FLEX 4P MANUAL,Itajaí,PJ,https://www.webmotors.com.br/comprar/CHEVROLET/ONIX/1.0-MPFI-LOLLAPALOOZA-8V-FLEX-4P-MANUAL/4-portas/2014-2014/39992870
39992872,108,CHEVROLET,ONIX,49900,2013,2014,111990,Manual,Preto,1.4 MPFI LTZ 8V FLEX 4P MANUAL,Itajaí,PJ,https://www.webmotors.com.br/comprar/CHEVROLET/ONIX/1.4-MPFI-LTZ-8V-FLEX-4P-MANUAL/4-portas/2013-2014/39992872
36552367,109,FIAT,ARGO,63900,2019,2020,51000,Manual,Prata,1.0 FIREFLY FLEX DRIVE MANUAL,Itajaí,PJ,https://www.webmotors.com.br/comprar/FIAT/ARGO/1.0-FIREFLY-FLEX-DRIVE-MANUAL/4-portas/2019-2020/36552367
39994114,109,CHEVROLET,ONIX,71990,2017,2018,12000,Automática,Vermelho,1.4 MPFI LTZ 8V FLEX 4P AUTOMATICO,Itajaí,PJ,https://www.webmotors.com.br/comprar/CHEVROLET/ONIX/1.4-MPFI-LTZ-8V-FLEX-4P-AUTOMATICO/4-portas/2017-2018/39994114
39994168,104,HYUNDAI,HB20,84900,2020,2021,10227,Automática,Branco,1.0 TGDI FLEX EVOLUTION AUTOMATICO,Itajaí,PJ,https://www.webmotors.com.br/comprar/HYUNDAI/HB20/1.0-TGDI-FLEX-EVOLUTION-AUTOMATICO/4-portas/2020-2021/39994168
39994599,106,HYUNDAI,HB20,47900,2015,2015,96000,Manual,Vermelho,1.0 COMFORT 12V FLEX 4P MANUAL,São José,PJ,https://www.webmotors.com.br/comprar/HYUNDAI/HB20/1.0-COMFORT-12V-FLEX-4P-MANUAL/4-portas/2015-2015/39994599
